givenVideo,comparedVideo,distance
--DwgB78t-c,XedvYcwHxCs,3
--DwgB78t-c,7jVvCSodFGw,3
--DwgB78t-c,0eUPFjUUYeQ,3
--DwgB78t-c,1hgrNWxbpLc,3
--DwgB78t-c,V5q0mYc25ok,3
--DwgB78t-c,3KzvVRYa6r4,3
--DwgB78t-c,2hN9xZg1obQ,3
--DwgB78t-c,UK8oTUHcCDE,3
--DwgB78t-c,QuKrVzeWFk0,3
--DwgB78t-c,23PhLIp41Ng,3
--DwgB78t-c,0QQHkexCfeQ,3
--DwgB78t-c,83Vjnrni4AE,3
--DwgB78t-c,5rXw4r_dghA,3
--DwgB78t-c,67KoaP2V_X4,3
--DwgB78t-c,0RumFZrreWI,3
--DwgB78t-c,5QrWPwU8a3w,3
--DwgB78t-c,3Ijfb8fa6OY,3
--DwgB78t-c,37L-Lr0FetQ,3
--DwgB78t-c,3ILLQzSuzBc,3
--DwgB78t-c,2YrCCnpOFGE,3
--DwgB78t-c,SzF_SUlAu2I,3
--DwgB78t-c,4zpf2d-tN14,3
--DwgB78t-c,2OClWlw6VT4,3
--DwgB78t-c,30rRBQh2O2E,3
--DwgB78t-c,SzLYAvSRoyI,3
--DwgB78t-c,2MtbBqg9h3g,3
--DwgB78t-c,4xfVcuCY1aI,3
--DwgB78t-c,0ZAu7SRIt8A,3
--DwgB78t-c,-CNDhPGQHt4,3
--DwgB78t-c,6hyjkPqLjhw,3
--DwgB78t-c,66Qsea5iuqc,3
--DwgB78t-c,wy-z4lf4Cnc,3
--DwgB78t-c,6PuMDSZxfWM,3
--DwgB78t-c,5OIwIO4Jyi8,3
--DwgB78t-c,-ff1NOSrhAQ,3
--DwgB78t-c,1AkPbE9fQU4,3
--DwgB78t-c,trfsYwKS9K0,3
--DwgB78t-c,4IJmSzEdBnY,3
--DwgB78t-c,6-42b7zdDUo,3
--DwgB78t-c,42mLXCSyo4k,3
--DwgB78t-c,34uKl9Iznr0,3
--DwgB78t-c,3eN0YLXzPOY,3
--DwgB78t-c,RP5YYmxmkFM,3
--DwgB78t-c,1rjWsmejzwk,3
--DwgB78t-c,8C7hqhqubME,3
--DwgB78t-c,ZnqoSxi1V2Q,3
--DwgB78t-c,7EFcib32nZs,3
--DwgB78t-c,2TF8eFDBwTM,3
--DwgB78t-c,-96UZXSL228,3
--DwgB78t-c,4TYFXyqjSRY,3
--DwgB78t-c,ZnqoSxi1V2Q,3
--DwgB78t-c,2PbrWpxxRZY,3
--DwgB78t-c,4TB7uxef_ko,3
--DwgB78t-c,SfM1LrpIQ0o,3
--DwgB78t-c,S6mFbyGEXeU,3
--DwgB78t-c,RF4lf-JOTjw,3
--DwgB78t-c,-8VbNU8hw8Q,3
--DwgB78t-c,2TvNhsKKGkQ,3
--DwgB78t-c,3mYUk-KBwRM,3
--DwgB78t-c,8ANKhJJA5C0,3
--DwgB78t-c,72ZjCQBdQ0c,3
--DwgB78t-c,xdJuvZmcywI,3
--DwgB78t-c,Z0LiKlOp3K0,3
--DwgB78t-c,S6_p9VpwfGQ,3
--DwgB78t-c,2IVbppd8mbg,3
--DwgB78t-c,-ORmLl3q3Rs,3
--DwgB78t-c,28vnwhHspeQ,3
--DwgB78t-c,3yARjeVv3eg,3
--DwgB78t-c,806GApQclYY,3
--DwgB78t-c,5cRcMYQRxr0,3
--DwgB78t-c,6-aPUJdUHV8,3
--DwgB78t-c,U61boQFZIhg,3
--DwgB78t-c,33vy2iwN5Hc,3
--DwgB78t-c,3a7S_SNbiVw,3
--DwgB78t-c,4Iff7JUc4x4,3
--DwgB78t-c,W40kVJpJphU,3
--DwgB78t-c,0x7bQVp-Wpk,3
--DwgB78t-c,2Tf-Qptf8-M,3
